system:time_start,NDCI
"Jan 1, 2019",0.174
"Jan 1, 2019",0.179
"Jan 1, 2019",0.176
"Jan 1, 2019",0.19
"Jan 6, 2019",0.273
"Jan 6, 2019",0.288
"Jan 16, 2019",0.32
"Jan 16, 2019",0.281
"Jan 16, 2019",0.295
"Jan 21, 2019",0.172
"Jan 26, 2019",0.256
"Jan 26, 2019",0.272
"Jan 31, 2019",0.212
"Jan 31, 2019",0.208
"Jan 31, 2019",0.222
"Feb 5, 2019",0.234
"Feb 5, 2019",0.243
"Feb 5, 2019",0.244
"Feb 5, 2019",0.254
"Feb 10, 2019",0.273
"Feb 10, 2019",0.28
"Feb 10, 2019",0.292
"Feb 15, 2019",0.256
"Feb 15, 2019",0.261
"Feb 15, 2019",0.243
"Feb 15, 2019",0.26
"Feb 20, 2019",0.141
"Mar 2, 2019",0.263
"Mar 2, 2019",0.281
"Mar 2, 2019",0.29
"Mar 7, 2019",0.228
"Mar 7, 2019",0.239
"Mar 12, 2019",0.197
"Mar 12, 2019",0.209
"Mar 22, 2019",0.226
"Mar 22, 2019",0.233
"Mar 27, 2019",0.289
"Mar 27, 2019",0.301
"Apr 6, 2019",0.265
"Apr 21, 2019",0.265
"Apr 26, 2019",0.252
"Apr 26, 2019",0.255
"Jul 5, 2019",0.307
"Jul 5, 2019",0.322
"Jul 5, 2019",0.277
"Oct 18, 2019",0.226
"Nov 22, 2019",0.228
"Nov 22, 2019",0.204
"Nov 22, 2019",0.218
"Nov 27, 2019",0.152
"Dec 2, 2019",0.191
"Dec 17, 2019",0.235
"Dec 27, 2019",0.204
"Jan 1, 2020",0.221
"Jan 6, 2020",0.175
"Jan 6, 2020",0.189
"Jan 11, 2020",0.281
"Jan 11, 2020",0.285
"Jan 11, 2020",0.255
"Jan 11, 2020",0.267
"Jan 16, 2020",0.242
"Jan 16, 2020",0.256
"Jan 31, 2020",0.263
"Jan 31, 2020",0.27
"Jan 31, 2020",0.248
"Jan 31, 2020",0.263
"Feb 10, 2020",0.229
"Feb 10, 2020",0.238
"Feb 10, 2020",0.225
"Feb 10, 2020",0.238
"Feb 15, 2020",0.258
"Feb 15, 2020",0.261
"Feb 15, 2020",0.23
"Feb 15, 2020",0.245
"Feb 25, 2020",0.272
"Mar 1, 2020",0.193
"Mar 1, 2020",0.207
"Mar 1, 2020",0.195
"Mar 1, 2020",0.215
"Mar 6, 2020",0.256
"Mar 6, 2020",0.261
"Mar 6, 2020",0.253
"Mar 6, 2020",0.265
"Mar 11, 2020",0.255
"Mar 11, 2020",0.266
"Mar 16, 2020",0.216
"Mar 16, 2020",0.226
"Mar 16, 2020",0.209
"Mar 16, 2020",0.215
"Mar 21, 2020",0.274
"Mar 21, 2020",0.286
"Mar 26, 2020",0.236
"Mar 26, 2020",0.222
"Mar 26, 2020",0.23
"Mar 31, 2020",0.247
"Apr 5, 2020",0.207
"Apr 5, 2020",0.21
"Apr 5, 2020",0.207
"Apr 5, 2020",0.22
"Apr 20, 2020",0.274
"Apr 20, 2020",0.289
"Apr 20, 2020",0.303
"May 15, 2020",0.235
"May 15, 2020",0.24
"Sep 2, 2020",0.273
"Dec 16, 2020",0.216
"Dec 21, 2020",0.223
"Dec 21, 2020",0.232
"Dec 21, 2020",0.215
"Dec 21, 2020",0.228
"Jan 10, 2021",0.11
"Jan 20, 2021",0.143
"Jan 20, 2021",0.153
"Jan 25, 2021",0.188
"Jan 25, 2021",0.199
"Jan 30, 2021",0.171
"Feb 4, 2021",0.304
"Feb 9, 2021",0.197
"Feb 9, 2021",0.205
"Feb 24, 2021",0.315
"Feb 24, 2021",0.321
"Feb 24, 2021",0.312
"Feb 24, 2021",0.327
"Mar 1, 2021",0.247
"Mar 1, 2021",0.254
"Mar 6, 2021",0.276
"Mar 6, 2021",0.284
"Mar 6, 2021",0.249
"Mar 6, 2021",0.265
"Mar 26, 2021",0.22
"Mar 26, 2021",0.225
"Mar 31, 2021",0.234
"Apr 30, 2021",0.226
"Jun 19, 2021",0.329
"Jun 19, 2021",0.338
"Jun 19, 2021",0.306
"Jun 19, 2021",0.318
"Nov 16, 2021",0.182
"Nov 16, 2021",0.187
"Dec 11, 2021",0.232
"Dec 11, 2021",0.244
"Dec 11, 2021",0.247
"Dec 31, 2021",0.216
"Jan 5, 2022",0.224
"Jan 5, 2022",0.243
"Jan 10, 2022",0.207
"Jan 10, 2022",0.217
"Jan 15, 2022",0.256
"Jan 20, 2022",0.211
"Jan 20, 2022",0.248
"Jan 20, 2022",0.265
"Feb 4, 2022",0.18
"Feb 4, 2022",0.193
"Feb 9, 2022",0.27
"Feb 19, 2022",0.252
"Feb 19, 2022",0.269
"Feb 24, 2022",0.265
"Feb 24, 2022",0.27
"Feb 24, 2022",0.245
"Feb 24, 2022",0.264
"Mar 1, 2022",0.229
"Mar 11, 2022",0.243
"Mar 11, 2022",0.254
"Mar 16, 2022",0.211
"Mar 16, 2022",0.228
"Mar 16, 2022",0.232
"Jun 4, 2022",0.225
"Jun 4, 2022",0.235
"Nov 1, 2022",0.234
"Dec 6, 2022",0.203
"Dec 6, 2022",0.222
"Dec 6, 2022",0.234
"Dec 21, 2022",0.217
"Dec 26, 2022",0.232
"Dec 26, 2022",0.248
"Dec 31, 2022",0.237
"Dec 31, 2022",0.244
"Dec 31, 2022",0.196
"Jan 10, 2023",0.311
"Jan 10, 2023",0.318
"Jan 20, 2023",0.222
"Jan 20, 2023",0.24
"Feb 4, 2023",0.251
"Feb 14, 2023",0.272
"Feb 14, 2023",0.283
"Feb 19, 2023",0.212
"Feb 19, 2023",0.227
"Feb 24, 2023",0.29
"Feb 24, 2023",0.299
"Mar 1, 2023",0.243
"Mar 1, 2023",0.245
"Mar 16, 2023",0.179
"Mar 16, 2023",0.16
"Mar 26, 2023",0.249
"Mar 31, 2023",0.235
"Apr 10, 2023",0.309
"Apr 10, 2023",0.323
"Apr 15, 2023",0.293
"May 10, 2023",0.305
"May 10, 2023",0.321
"Jul 19, 2023",0.21
"Jul 19, 2023",0.218
"Sep 22, 2023",0.304
"Dec 1, 2023",0.197
"Dec 1, 2023",0.21
"Dec 6, 2023",0.171
"Dec 6, 2023",0.185
"Dec 11, 2023",0.279
"Dec 11, 2023",0.287
"Dec 21, 2023",0.272
"Dec 31, 2023",0.317
"Dec 31, 2023",0.293
