system:time_start,SST
"Jan 1, 2019",29.624
"Jan 2, 2019",29.508
"Jan 3, 2019",
"Jan 4, 2019",
"Jan 5, 2019",30.072
"Jan 6, 2019",29.91
"Jan 7, 2019",
"Jan 8, 2019",30.282
"Jan 9, 2019",28.849
"Jan 10, 2019",
"Jan 11, 2019",
"Jan 12, 2019",29.25
"Jan 13, 2019",29.301
"Jan 14, 2019",
"Jan 15, 2019",
"Jan 16, 2019",29.952
"Jan 17, 2019",29.546
"Jan 18, 2019",
"Jan 19, 2019",
"Jan 20, 2019",29.958
"Jan 21, 2019",29.705
"Jan 22, 2019",
"Jan 23, 2019",29.557
"Jan 24, 2019",29.393
"Jan 25, 2019",29.383
"Jan 26, 2019",
"Jan 27, 2019",29.631
"Jan 28, 2019",
"Jan 29, 2019",
"Jan 30, 2019",
"Jan 31, 2019",29.661
"Feb 1, 2019",
"Feb 2, 2019",
"Feb 3, 2019",
"Feb 4, 2019",29.809
"Feb 5, 2019",29.668
"Feb 6, 2019",
"Feb 7, 2019",
"Feb 8, 2019",30.064
"Feb 9, 2019",29.797
"Feb 10, 2019",
"Feb 11, 2019",29.988
"Feb 12, 2019",29.873
"Feb 13, 2019",
"Feb 14, 2019",
"Feb 15, 2019",29.417
"Feb 16, 2019",29.325
"Feb 17, 2019",
"Feb 18, 2019",
"Feb 19, 2019",30.185
"Feb 20, 2019",
"Feb 21, 2019",
"Feb 22, 2019",
"Feb 23, 2019",
"Feb 24, 2019",
"Feb 25, 2019",
"Feb 26, 2019",
"Feb 27, 2019",30.147
"Feb 28, 2019",
"Mar 1, 2019",
"Mar 2, 2019",30.421
"Mar 3, 2019",30.464
"Mar 4, 2019",
"Mar 5, 2019",
"Mar 6, 2019",
"Mar 7, 2019",
"Mar 8, 2019",
"Mar 9, 2019",
"Mar 10, 2019",
"Mar 11, 2019",30.158
"Mar 12, 2019",
"Mar 13, 2019",
"Mar 14, 2019",30.164
"Mar 15, 2019",
"Mar 16, 2019",
"Mar 17, 2019",30.321
"Mar 18, 2019",30.802
"Mar 19, 2019",
"Mar 20, 2019",
"Mar 21, 2019",
"Mar 22, 2019",
"Mar 23, 2019",
"Mar 24, 2019",
"Mar 25, 2019",30.209
"Mar 26, 2019",30.263
"Mar 27, 2019",
"Mar 28, 2019",
"Mar 29, 2019",30.453
"Mar 30, 2019",29.809
"Mar 31, 2019",
"Apr 1, 2019",
"Apr 2, 2019",
"Apr 3, 2019",
"Apr 4, 2019",
"Apr 5, 2019",
"Apr 6, 2019",30.334
"Apr 7, 2019",
"Apr 8, 2019",
"Apr 9, 2019",
"Apr 10, 2019",
"Apr 11, 2019",
"Apr 12, 2019",
"Apr 13, 2019",30.848
"Apr 14, 2019",
"Apr 15, 2019",
"Apr 16, 2019",
"Apr 17, 2019",
"Apr 18, 2019",
"Apr 19, 2019",
"Apr 20, 2019",
"Apr 21, 2019",29.925
"Apr 22, 2019",
"Apr 23, 2019",
"Apr 24, 2019",29.867
"Apr 25, 2019",29.323
"Apr 26, 2019",
"Apr 27, 2019",
"Apr 28, 2019",30.147
"Apr 29, 2019",30.008
"Apr 30, 2019",
"May 1, 2019",
"May 2, 2019",
"May 3, 2019",
"May 4, 2019",
"May 5, 2019",30.717
"May 6, 2019",
"May 7, 2019",
"May 8, 2019",
"May 9, 2019",
"May 10, 2019",30.156
"May 11, 2019",
"May 12, 2019",
"May 13, 2019",
"May 14, 2019",
"May 15, 2019",
"May 16, 2019",
"May 17, 2019",
"May 18, 2019",
"May 19, 2019",
"May 20, 2019",
"May 21, 2019",30.054
"May 22, 2019",
"May 23, 2019",
"May 24, 2019",
"May 25, 2019",
"May 26, 2019",
"May 27, 2019",
"May 28, 2019",
"May 29, 2019",28.98
"May 30, 2019",
"May 31, 2019",
"Jun 1, 2019",28.715
"Jun 2, 2019",29.405
"Jun 3, 2019",
"Jun 4, 2019",
"Jun 5, 2019",
"Jun 6, 2019",
"Jun 7, 2019",
"Jun 8, 2019",
"Jun 9, 2019",
"Jun 10, 2019",
"Jun 11, 2019",
"Jun 12, 2019",
"Jun 13, 2019",
"Jun 14, 2019",
"Jun 15, 2019",
"Jun 16, 2019",29.45
"Jun 17, 2019",
"Jun 18, 2019",
"Jun 19, 2019",
"Jun 20, 2019",
"Jun 21, 2019",
"Jun 22, 2019",
"Jun 23, 2019",
"Jun 24, 2019",
"Jun 25, 2019",
"Jun 26, 2019",
"Jun 27, 2019",29.39
"Jun 28, 2019",
"Jun 29, 2019",
"Jun 30, 2019",
"Jul 1, 2019",
"Jul 2, 2019",
"Jul 3, 2019",
"Jul 4, 2019",
"Jul 5, 2019",29.997
"Jul 6, 2019",29.502
"Jul 7, 2019",
"Jul 8, 2019",
"Jul 9, 2019",
"Jul 10, 2019",
"Jul 11, 2019",
"Jul 12, 2019",
"Jul 13, 2019",
"Jul 14, 2019",
"Jul 15, 2019",
"Jul 16, 2019",
"Jul 17, 2019",
"Jul 18, 2019",
"Jul 19, 2019",
"Jul 20, 2019",30.231
"Jul 21, 2019",
"Jul 22, 2019",
"Jul 23, 2019",
"Jul 24, 2019",
"Jul 25, 2019",
"Jul 26, 2019",
"Jul 27, 2019",
"Jul 28, 2019",29.981
"Jul 29, 2019",
"Jul 30, 2019",
"Jul 31, 2019",
"Aug 1, 2019",30.401
"Aug 2, 2019",
"Aug 3, 2019",
"Aug 4, 2019",
"Aug 5, 2019",
"Aug 6, 2019",
"Aug 7, 2019",
"Aug 8, 2019",29.408
"Aug 9, 2019",29.643
"Aug 10, 2019",
"Aug 11, 2019",
"Aug 12, 2019",
"Aug 13, 2019",
"Aug 14, 2019",
"Aug 15, 2019",
"Aug 16, 2019",
"Aug 17, 2019",
"Aug 18, 2019",
"Aug 19, 2019",
"Aug 20, 2019",
"Aug 21, 2019",
"Aug 22, 2019",
"Aug 23, 2019",28.696
"Aug 24, 2019",
"Aug 25, 2019",
"Aug 26, 2019",
"Aug 27, 2019",
"Aug 28, 2019",
"Aug 29, 2019",
"Aug 30, 2019",
"Aug 31, 2019",
"Sep 1, 2019",
"Sep 2, 2019",
"Sep 3, 2019",
"Sep 4, 2019",
"Sep 5, 2019",
"Sep 6, 2019",
"Sep 7, 2019",
"Sep 8, 2019",
"Sep 9, 2019",
"Sep 10, 2019",
"Sep 11, 2019",
"Sep 12, 2019",
"Sep 13, 2019",
"Sep 14, 2019",
"Sep 15, 2019",
"Sep 16, 2019",
"Sep 17, 2019",
"Sep 18, 2019",
"Sep 19, 2019",
"Sep 20, 2019",
"Sep 21, 2019",
"Sep 22, 2019",
"Sep 23, 2019",
"Sep 24, 2019",
"Sep 25, 2019",
"Sep 26, 2019",
"Sep 27, 2019",
"Sep 28, 2019",
"Sep 29, 2019",
"Sep 30, 2019",
"Oct 1, 2019",
"Oct 2, 2019",
"Oct 3, 2019",
"Oct 4, 2019",28.785
"Oct 5, 2019",
"Oct 6, 2019",
"Oct 7, 2019",
"Oct 8, 2019",
"Oct 9, 2019",
"Oct 10, 2019",
"Oct 11, 2019",
"Oct 12, 2019",
"Oct 13, 2019",
"Oct 14, 2019",
"Oct 15, 2019",
"Oct 16, 2019",28.151
"Oct 17, 2019",
"Oct 18, 2019",
"Oct 19, 2019",29.059
"Oct 20, 2019",
"Oct 21, 2019",
"Oct 22, 2019",18.555
"Oct 23, 2019",
"Oct 24, 2019",
"Oct 25, 2019",
"Oct 26, 2019",
"Oct 27, 2019",26.75
"Oct 28, 2019",
"Oct 29, 2019",
"Oct 30, 2019",
"Oct 31, 2019",
"Nov 1, 2019",
"Nov 2, 2019",
"Nov 3, 2019",
"Nov 4, 2019",
"Nov 5, 2019",
"Nov 6, 2019",
"Nov 7, 2019",
"Nov 8, 2019",
"Nov 9, 2019",
"Nov 10, 2019",
"Nov 11, 2019",
"Nov 12, 2019",
"Nov 13, 2019",
"Nov 14, 2019",
"Nov 15, 2019",
"Nov 16, 2019",
"Nov 17, 2019",
"Nov 18, 2019",
"Nov 19, 2019",
"Nov 20, 2019",
"Nov 21, 2019",
"Nov 22, 2019",28.732
"Nov 23, 2019",
"Nov 24, 2019",
"Nov 25, 2019",15.205
"Nov 26, 2019",28.927
"Nov 27, 2019",
"Nov 28, 2019",
"Nov 29, 2019",
"Nov 30, 2019",
"Dec 1, 2019",
"Dec 2, 2019",
"Dec 3, 2019",28.77
"Dec 4, 2019",29.164
"Dec 5, 2019",
"Dec 6, 2019",
"Dec 7, 2019",
"Dec 8, 2019",29.077
"Dec 9, 2019",
"Dec 10, 2019",
"Dec 11, 2019",
"Dec 12, 2019",
"Dec 13, 2019",
"Dec 14, 2019",
"Dec 15, 2019",29.34
"Dec 16, 2019",
"Dec 17, 2019",
"Dec 18, 2019",
"Dec 19, 2019",
"Dec 20, 2019",
"Dec 21, 2019",
"Dec 22, 2019",
"Dec 23, 2019",
"Dec 24, 2019",
"Dec 25, 2019",
"Dec 26, 2019",29.197
"Dec 27, 2019",29.464
"Dec 28, 2019",
"Dec 29, 2019",18.922
"Dec 30, 2019",
"Dec 31, 2019",
"Jan 1, 2020",
"Jan 2, 2020",
"Jan 3, 2020",28.907
"Jan 4, 2020",
"Jan 5, 2020",
"Jan 6, 2020",28.809
"Jan 7, 2020",29.16
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",29.339
"Jan 11, 2020",29.464
"Jan 12, 2020",
"Jan 13, 2020",
"Jan 14, 2020",29.397
"Jan 15, 2020",29.268
"Jan 16, 2020",
"Jan 17, 2020",29.592
"Jan 18, 2020",29.851
"Jan 19, 2020",
"Jan 20, 2020",
"Jan 21, 2020",
"Jan 22, 2020",30.059
"Jan 23, 2020",
"Jan 24, 2020",
"Jan 25, 2020",29.896
"Jan 26, 2020",31.545
"Jan 27, 2020",
"Jan 28, 2020",
"Jan 29, 2020",
"Jan 30, 2020",28.149
"Jan 31, 2020",
"Feb 1, 2020",29.53
"Feb 2, 2020",29.744
"Feb 3, 2020",
"Feb 4, 2020",
"Feb 5, 2020",29.865
"Feb 6, 2020",30.006
"Feb 7, 2020",
"Feb 8, 2020",
"Feb 9, 2020",29.78
"Feb 10, 2020",29.77
"Feb 11, 2020",
"Feb 12, 2020",
"Feb 13, 2020",30
"Feb 14, 2020",29.538
"Feb 15, 2020",
"Feb 16, 2020",
"Feb 17, 2020",30.094
"Feb 18, 2020",29.751
"Feb 19, 2020",
"Feb 20, 2020",
"Feb 21, 2020",30.314
"Feb 22, 2020",
"Feb 23, 2020",
"Feb 24, 2020",30.086
"Feb 25, 2020",30.076
"Feb 26, 2020",
"Feb 27, 2020",
"Feb 28, 2020",30.434
"Feb 29, 2020",29.93
"Mar 1, 2020",
"Mar 2, 2020",
"Mar 3, 2020",29.744
"Mar 4, 2020",30.139
"Mar 5, 2020",
"Mar 6, 2020",29.745
"Mar 7, 2020",30.294
"Mar 8, 2020",30.47
"Mar 9, 2020",
"Mar 10, 2020",30.078
"Mar 11, 2020",30.466
"Mar 12, 2020",
"Mar 13, 2020",
"Mar 14, 2020",30.073
"Mar 15, 2020",30.141
"Mar 16, 2020",
"Mar 17, 2020",
"Mar 18, 2020",30.336
"Mar 19, 2020",30.146
"Mar 20, 2020",
"Mar 21, 2020",
"Mar 22, 2020",30.677
"Mar 23, 2020",30.507
"Mar 24, 2020",
"Mar 25, 2020",30.701
"Mar 26, 2020",30.524
"Mar 27, 2020",
"Mar 28, 2020",
"Mar 29, 2020",30.132
"Mar 30, 2020",30.705
"Mar 31, 2020",
"Apr 1, 2020",
"Apr 2, 2020",
"Apr 3, 2020",30.397
"Apr 4, 2020",
"Apr 5, 2020",
"Apr 6, 2020",30.531
"Apr 7, 2020",30.242
"Apr 8, 2020",
"Apr 9, 2020",28.997
"Apr 10, 2020",
"Apr 11, 2020",
"Apr 12, 2020",
"Apr 13, 2020",
"Apr 14, 2020",
"Apr 15, 2020",
"Apr 16, 2020",
"Apr 17, 2020",30.005
"Apr 18, 2020",29.789
"Apr 19, 2020",
"Apr 20, 2020",
"Apr 21, 2020",
"Apr 22, 2020",
"Apr 23, 2020",
"Apr 24, 2020",
"Apr 25, 2020",30.745
"Apr 26, 2020",
"Apr 27, 2020",
"Apr 28, 2020",
"Apr 29, 2020",
"Apr 30, 2020",
"May 1, 2020",
"May 2, 2020",30.135
"May 3, 2020",30.684
"May 4, 2020",
"May 5, 2020",
"May 6, 2020",
"May 7, 2020",
"May 8, 2020",
"May 9, 2020",
"May 10, 2020",
"May 11, 2020",
"May 12, 2020",
"May 13, 2020",25.699
"May 14, 2020",
"May 15, 2020",29.615
"May 16, 2020",
"May 17, 2020",30.326
"May 18, 2020",
"May 19, 2020",
"May 20, 2020",
"May 21, 2020",30.419
"May 22, 2020",30.734
"May 23, 2020",
"May 24, 2020",
"May 25, 2020",
"May 26, 2020",29.845
"May 27, 2020",
"May 28, 2020",
"May 29, 2020",
"May 30, 2020",
"May 31, 2020",
"Jun 1, 2020",
"Jun 2, 2020",
"Jun 3, 2020",
"Jun 4, 2020",
"Jun 5, 2020",
"Jun 6, 2020",29.776
"Jun 7, 2020",
"Jun 8, 2020",
"Jun 9, 2020",
"Jun 10, 2020",
"Jun 11, 2020",
"Jun 12, 2020",
"Jun 13, 2020",
"Jun 14, 2020",
"Jun 15, 2020",
"Jun 16, 2020",29.493
"Jun 17, 2020",
"Jun 18, 2020",
"Jun 19, 2020",
"Jun 20, 2020",
"Jun 21, 2020",
"Jun 22, 2020",
"Jun 23, 2020",
"Jun 24, 2020",
"Jun 25, 2020",29.533
"Jun 26, 2020",
"Jun 27, 2020",
"Jun 28, 2020",
"Jun 29, 2020",
"Jun 30, 2020",
"Jul 1, 2020",
"Jul 2, 2020",
"Jul 3, 2020",
"Jul 4, 2020",
"Jul 5, 2020",
"Jul 6, 2020",
"Jul 7, 2020",
"Jul 8, 2020",
"Jul 9, 2020",
"Jul 10, 2020",
"Jul 11, 2020",
"Jul 12, 2020",
"Jul 13, 2020",
"Jul 14, 2020",28.45
"Jul 15, 2020",
"Jul 16, 2020",
"Jul 17, 2020",29.809
"Jul 18, 2020",
"Jul 19, 2020",
"Jul 20, 2020",
"Jul 21, 2020",
"Jul 22, 2020",
"Jul 23, 2020",
"Jul 24, 2020",
"Jul 25, 2020",
"Jul 26, 2020",
"Jul 27, 2020",
"Jul 28, 2020",
"Jul 29, 2020",
"Jul 30, 2020",
"Jul 31, 2020",
"Aug 1, 2020",
"Aug 2, 2020",
"Aug 3, 2020",
"Aug 4, 2020",
"Aug 5, 2020",
"Aug 6, 2020",
"Aug 7, 2020",
"Aug 8, 2020",
"Aug 9, 2020",
"Aug 10, 2020",
"Aug 11, 2020",
"Aug 12, 2020",
"Aug 13, 2020",
"Aug 14, 2020",
"Aug 15, 2020",
"Aug 16, 2020",
"Aug 17, 2020",
"Aug 18, 2020",
"Aug 19, 2020",
"Aug 20, 2020",
"Aug 21, 2020",
"Aug 22, 2020",
"Aug 23, 2020",
"Aug 24, 2020",27.447
"Aug 25, 2020",
"Aug 26, 2020",
"Aug 27, 2020",27.319
"Aug 28, 2020",
"Aug 29, 2020",
"Aug 30, 2020",
"Aug 31, 2020",29.362
"Sep 1, 2020",
"Sep 2, 2020",
"Sep 3, 2020",
"Sep 4, 2020",
"Sep 5, 2020",
"Sep 6, 2020",
"Sep 7, 2020",
"Sep 8, 2020",
"Sep 9, 2020",
"Sep 10, 2020",
"Sep 11, 2020",
"Sep 12, 2020",
"Sep 13, 2020",
"Sep 14, 2020",
"Sep 15, 2020",
"Sep 16, 2020",
"Sep 17, 2020",
"Sep 18, 2020",
"Sep 19, 2020",29.644
"Sep 20, 2020",
"Sep 21, 2020",
"Sep 22, 2020",
"Sep 23, 2020",
"Sep 24, 2020",
"Sep 25, 2020",
"Sep 26, 2020",29.143
"Sep 27, 2020",
"Sep 28, 2020",29.575
"Sep 29, 2020",
"Sep 30, 2020",
"Oct 1, 2020",
"Oct 2, 2020",
"Oct 3, 2020",
"Oct 4, 2020",
"Oct 5, 2020",
"Oct 6, 2020",
"Oct 7, 2020",
"Oct 8, 2020",
"Oct 9, 2020",
"Oct 10, 2020",
"Oct 11, 2020",
"Oct 12, 2020",
"Oct 13, 2020",
"Oct 14, 2020",
"Oct 15, 2020",28.972
"Oct 16, 2020",28.723
"Oct 17, 2020",
"Oct 18, 2020",
"Oct 19, 2020",
"Oct 20, 2020",
"Oct 21, 2020",
"Oct 22, 2020",
"Oct 23, 2020",
"Oct 24, 2020",
"Oct 25, 2020",
"Oct 26, 2020",
"Oct 27, 2020",
"Oct 28, 2020",
"Oct 29, 2020",
