"ano","mes","promedio_sst"
"2019","01","0.23"
"2019","02","0.25"
"2019","03","0.25"
"2019","04","0.26"
"2019","5","0.24"
"","6","0.24"
"2019","07","0.3"
"2019","8","0.24"
"","9","0.24"
"2019","10","0.23"
"2019","11","0.2"
"2019","12","0.21"
"2020","01","0.25"
"2020","02","0.24"
"2020","03","0.24"
"2020","04","0.24"
"2020","05","0.24"
"2020","6","0.24"
"2020","7","0.24"
"2020","8","0.24"
"2020","09","0.27"
"2020","10","0.24"
"2020","11","0.24"
"2020","12","0.22"
"2021","01","0.16"
"2021","02","0.28"
"2021","03","0.25"
"2021","04","0.23"
"2021","5","0.24"
"2021","06","0.32"
"2021","7","0.24"
"2021","8","0.24"
"2021","9","0.24"
"2021","10","0.24"
"2021","11","0.18"
"2021","12","0.23"
"2022","01","0.23"
"2022","02","0.25"
"2022","03","0.23"
"2022","4","0.23"
"2022","5","0.23"
"2022","06","0.23"
"2022","7","0.23"
"2022","8","0.23"
"2022","9","0.23"
"2022","10","0.23"
"2022","11","0.23"
"2022","12","0.23"
"2023","01","0.27"
"2023","02","0.26"
"2023","03","0.22"
"2023","04","0.31"
"2023","05","0.31"
"2023","6","0.27"
"2023","07","0.21"
"2023","8","0.27"
"2023","09","0.3"
"2023","10","0.27"
"2023","11","0.27"
"2023","12","0.25"
